id,name,host_id,price,neighborhood,accommodates,room_type,borough,minimum_nights,maximum_nights,availability_90,beds,review_scores_rating,number_of_reviews,number_of_reviews_ltm,listing_url
62925,Beautiful Landmarked Duplex,306739,285,Greenpoint,4,Entire home/apt,Brooklyn,3,90,14,2,4.79,140,12,https://www.airbnb.com/rooms/62925
63693,Cottage in the Village,306545,390,East Village,4,Entire home/apt,Manhattan,7,365,7,2,4.37,153,0,https://www.airbnb.com/rooms/63693
64000,Williamsburg loft bunk bed   l,312722,48,Williamsburg,1,Private room,Brooklyn,31,1125,61,3,4.92,14,0,https://www.airbnb.com/rooms/64000
64107,BROOKLYN  STUDIO APARTMENT,313317,100,Crown Heights,2,Private room,Brooklyn,3,29,0,0,4.79,308,0,https://www.airbnb.com/rooms/64107
64314,cozy bedroom in lovely garden apt,314256,75,Crown Heights,2,Private room,Brooklyn,30,182,89,1,4.82,45,0,https://www.airbnb.com/rooms/64314
64365,Crown Heights Garden Apt.,314582,60,Crown Heights,3,Private room,Brooklyn,30,365,32,1,4.78,244,0,https://www.airbnb.com/rooms/64365
64837,ENJOY Downtown NYC!!,46978,50,East Village,2,Private room,Manhattan,7,1125,5,1,4.55,219,4,https://www.airbnb.com/rooms/64837
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,75,Bedford-Stuyvesant,3,Private room,Brooklyn,5,30,0,2,4.92,63,0,https://www.airbnb.com/rooms/65268
65660,Bright+Spacious Williamsburg Abode!,320538,102,Williamsburg,3,Entire home/apt,Brooklyn,30,90,0,1,4.51,158,1,https://www.airbnb.com/rooms/65660
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,75,Harlem,1,Private room,Manhattan,3,14,0,1,4.9,20,0,https://www.airbnb.com/rooms/65813
66251,East Village Loft with Piano & Patio,324460,368,East Village,2,Entire home/apt,Manhattan,3,60,43,1,4.93,109,18,https://www.airbnb.com/rooms/66251
66718,West Harlem Home Base - Eco-Apt.,136227,76,Harlem,5,Entire home/apt,Manhattan,30,365,31,2,4.34,213,4,https://www.airbnb.com/rooms/66718
66741,Charming Garden Apt in Park Slope,327673,150,Park Slope,4,Entire home/apt,Brooklyn,30,360,23,0,4.82,250,0,https://www.airbnb.com/rooms/66741
67288,Central Park 1BR sunny condo,101597,115,East Harlem,2,Entire home/apt,Manhattan,28,365,13,2,4.86,35,6,https://www.airbnb.com/rooms/67288
67299,Cozy Garden Apartment  in Williamsburg,330347,85,Williamsburg,4,Entire home/apt,Brooklyn,30,89,2,2,4.88,69,8,https://www.airbnb.com/rooms/67299
67397,SoHa comfort-by NW Central Park!,332189,122,Harlem,2,Private room,Manhattan,30,200,1,1,4.79,105,0,https://www.airbnb.com/rooms/67397
68735,Prewar Penthouse w Private Terrace,342054,199,Upper West Side,2,Entire home/apt,Manhattan,30,200,87,1,4.97,33,0,https://www.airbnb.com/rooms/68735
68900,Bright Beautiful Brooklyn,343250,90,Greenpoint,2,Private room,Brooklyn,30,30,11,1,4.86,7,0,https://www.airbnb.com/rooms/68900
69894,"Nice renovated apt, prime location!",352168,150,Upper West Side,2,Entire home/apt,Manhattan,30,120,4,1,4.83,56,6,https://www.airbnb.com/rooms/69894
69921,Brooklyn Writer's Nook,155689,83,Bushwick,2,Private room,Brooklyn,3,150,72,1,4.76,58,5,https://www.airbnb.com/rooms/69921
71384,Gigantic Private Brooklyn Loft!,365153,229,Greenpoint,4,Entire home/apt,Brooklyn,1,60,0,2,4.98,50,0,https://www.airbnb.com/rooms/71384
74240,French Garden cottage off Bedford,389924,132,Williamsburg,2,Entire home/apt,Brooklyn,4,70,16,1,4.65,76,6,https://www.airbnb.com/rooms/74240
74680,One Bedroom Mini studio - Free WIFI,265109,119,Astoria,3,Entire home/apt,Queens,7,1125,65,2,4.66,225,3,https://www.airbnb.com/rooms/74680
74821,Deluxe Harlem 2 Bedroom,394640,149,Harlem,5,Entire home/apt,Manhattan,30,90,87,2,4.67,47,0,https://www.airbnb.com/rooms/74821
75635,Bright Cozy Chinatown Studio Apt.,401696,150,Lower East Side,3,Entire home/apt,Manhattan,30,1125,32,2,4.81,322,1,https://www.airbnb.com/rooms/75635
77517,Room in Willyburg Loft (Only Long Stays),415660,100,Williamsburg,2,Private room,Brooklyn,28,365,43,1,5,3,0,https://www.airbnb.com/rooms/77517
77765,Superior @ Box House,417504,263,Greenpoint,2,Hotel room,Brooklyn,30,365,89,1,4.91,38,0,https://www.airbnb.com/rooms/77765
80493,Cozy room in East Village with AC,434987,70,East Village,2,Private room,Manhattan,2,60,1,2,4.33,197,2,https://www.airbnb.com/rooms/80493
80684,Duplex w/ Terrace @ Box House Hotel,417504,349,Greenpoint,4,Hotel room,Brooklyn,30,365,0,2,5,8,0,https://www.airbnb.com/rooms/80684
80700,Loft w/ Terrace @ Box House Hotel,417504,349,Greenpoint,4,Private room,Brooklyn,30,365,0,2,4.57,7,0,https://www.airbnb.com/rooms/80700
80924,Spacious 3 Bedroom Duplex in Park Slope,438133,69,Park Slope,5,Entire home/apt,Brooklyn,30,1125,0,5,4.86,37,0,https://www.airbnb.com/rooms/80924
81739,Loft w/ Terrace @ Box House Hotel,417504,349,Greenpoint,4,Private room,Brooklyn,30,365,0,2,4,2,0,https://www.airbnb.com/rooms/81739
82638,"Charming Artist's Flat, East Village",449787,135,East Village,2,Entire home/apt,Manhattan,30,35,63,1,4.79,271,7,https://www.airbnb.com/rooms/82638
82928,BEAUTIFUL 2 BEDROOM APARTMENT,451545,150,Bedford-Stuyvesant,5,Entire home/apt,Brooklyn,30,365,2,3,4.9,72,1,https://www.airbnb.com/rooms/82928
83243,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,75,Bushwick,3,Entire home/apt,Brooklyn,30,60,62,0,4.43,250,0,https://www.airbnb.com/rooms/83243
83446,Ft. Greene gem with back yard & private entrance,454756,150,Fort Greene,3,Entire home/apt,Brooklyn,30,200,8,3,4.67,6,0,https://www.airbnb.com/rooms/83446
84010,Superior @ Box House,417504,179,Greenpoint,2,Hotel room,Brooklyn,30,365,0,1,4.88,16,0,https://www.airbnb.com/rooms/84010
89205,Spacious and sunny 1bedroom. apt. East Village,257306,120,East Village,2,Entire home/apt,Manhattan,30,180,28,3,4.46,42,2,https://www.airbnb.com/rooms/89205
89621,868 sleep 4,209460,150,Crown Heights,4,Entire home/apt,Brooklyn,30,365,53,2,4.45,238,0,https://www.airbnb.com/rooms/89621
93313,MAISON DES SIRENES 2,25183,129,Bedford-Stuyvesant,5,Entire home/apt,Brooklyn,2,1125,44,4,4.71,106,7,https://www.airbnb.com/rooms/93313
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",35375,76,Astoria,2,Private room,Queens,1,90,0,1,4.88,51,0,https://www.airbnb.com/rooms/94035
94209,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,503800,101,Crown Heights,4,Entire home/apt,Brooklyn,1,14,15,2,4.9,10,10,https://www.airbnb.com/rooms/94209
